Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
432440,19800516,"Thorold Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",36,"<abbr title=""Saint"">St.</abbr> Charles Avenue","<abbr title=""not available"">N/A</abbr>",Thorold,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L2V 2W4 
432441,19800522,"Westboro Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,1,581,Tweedsmuir Avenue,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1Z 5P4 
432443,19800604,"Burnhamwood Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,19,425,"Meadows <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4Z 1N3 
432444,19800604,Mimico Co-Operative Homes Incorporated,Housing Co-operatives,100,1,Summerhill Road,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M8V 1R9 
432445,19800611,"Black Creek Food Co-Operative, <abbr title=""Incorporated"">Inc.</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",4700,"Keele <abbr title=""Street"">St</abbr> .",York University,Downsview,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M3J 1P3
432446,19800617,"United Radiologist Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Service Co-operatives,333,3,North Rivermede Road,"<abbr title=""not available"">N/A</abbr>",Concord,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4K 3N7 
432448,19800717,"Peter Secor Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,18 REAR,380,Milner Avenue,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1B 1Z9 
432449,19800717,"Catalpa Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,2,108,Queen Elizabeth Drive,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K2P 1E5 
432450,19800717,"The Brampton Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",24,Alexander Street,"<abbr title=""not available"">N/A</abbr>",Brampton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L6V 1H6 
432451,19800724,Marine Heights Co-Operative Homes Incorporated,Housing Co-operatives,10,21,Cliffside Drive,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1N 1K9 
432452,19800801,"De Lasalle Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",4,Michel Riel Private,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1N 9J5 
432453,19800801,Lotus Co-Operative Homes Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",61,Lambertlodge Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6G 3Z1 
432455,19800820,"Parkview House Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",6101,Bathurst St,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M2R 3V5
432456,19800827,"The Saint Nicholas Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",7,Inkerman Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4Y 1M5 
432459,19800908,"<abbr title=""Saint"">St.</abbr> Mark�s Co-Operative Preschool Of Brantford, <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #2",Gravenhurst,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0C 1G0 
432460,19800908,"Balfour Parent Participation Preschool Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",40,"Queen <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Brantford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N3T 3B2 
432462,19800915,"Lynden Co-Operative Pre-School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",226,Lynden Road,"<abbr title=""not available"">N/A</abbr>",Lynden,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L0R 1T0 
432464,19801007,"Hugh Garner Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",550,"Ontario <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4X 1X3 
432467,19801105,Cedarbrook Park Co-Operative Homes Incorporated,Housing Co-operatives,36,435,Markham Road,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1J 3C8 
432469,19801120,Constance Hamilton Housing Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",70A,Lambertlodge Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6G 3X3 
432470,19801124,"Greenhill Housing Co-Operative <abbr title=""Corporation"">Corp.</abbr>",Housing Co-operatives,120,350,Quigley Road,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8K 5N2 
432471,19801128,"Stanley Knowles Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",38,Orchardview Boulevard,Office 4th Floor,Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4R 2G3 
432472,19801208,"Drayton Peel Maryborough Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",35,High Street,"<abbr title=""not available"">N/A</abbr>",Drayton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0G 1P0 
432474,19801209,"Briarview Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,1,370,Rathburn Road East,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4Z 1H7 
432475,19801209,"Cavendish Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2118,Pear Tree Lane,"<abbr title=""not available"">N/A</abbr>",Burlington,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7P 4L3 
432478,19801219,"Kingscourt Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",29,Kingscourt Road,"<abbr title=""not available"">N/A</abbr>",Bowmanville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1C 2K7 
432481,19801229,"Islamic Co-Operative Housing Corporation <abbr title=""Limited"">Ltd.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2200,South Sheridan Way,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5J 2M4 
432482,19810112,"Valley East Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",6,"Magnolia <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Brantford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N3R 1P7 
432483,19810114,Wyandot Co-Operative Homes Incorporated,Housing Co-operatives,15A,125,Malvern Street,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1B 2H1 
432484,19810216,Ontario Boat Builders Co-Operative Incorporated,Service Co-operatives,6,2265,Royal Windsor Drive,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5J 1K5 
432486,19810223,"Rainbow Circle Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,147,10,Empringham Drive,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1B 3Y1 
432487,19810227,"Venture Place Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2575,Roseville Garden Drive,"<abbr title=""not available"">N/A</abbr>",Windsor,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N8T 3K1 
432488,19810310,"Kitchener & District Co-Operative Preschools <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,4A,385,Fairway Road South,Box 113,Kitchener,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2C 2N9 
432489,19810311,"Lawrence Gardens Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",556,Lawrence Avenue West,Basement,Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6A 1A4 
432490,19810313,"La Co-Operative Du Douze Lowther Township <abbr title=""Incorporated"">Inc.</abbr>",Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","Lot 3, Concession 12",Lowther Township,Hearst,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0L 1N0 
432491,19810320,"Victoria Square Co-Operative Apartments <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1037,Victoria Park Avenue,Co-Op Mailbox,Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4B 2J7 
432492,19810324,"Village Co-Operative Preschool <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",6811,Beattie Street,"<abbr title=""not available"">N/A</abbr>",London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N6P 1A7 
432493,19810326,"Mono Mills Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #8, <abbr title=""Post Office"">P.O.</abbr> Box 100",Mono Mills,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L9W 3T5 
432495,19810402,"Ideal Village Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1176,"Orleans <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1C 2W1 
432497,19810407,"Winona Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,100,1463,Eglinton Avenue West,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6C 3Z5 
432499,19810422,"Osgoode Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",5660,Osgoode Main Street,"<abbr title=""not available"">N/A</abbr>",Osgoode,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 2W0 
432500,19810504,Aurora Village Co-Operative Incorporated,Housing Co-operatives,100,1,Caruso Gardens,"<abbr title=""not available"">N/A</abbr>",Aurora,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4G 3W4
442715,19800402,Etobicoke Garden Co-Operative Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",11,Neilson Drive,"<abbr title=""not available"">N/A</abbr>",Etobicoke,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M9C 1V4 
456063,19800912,Junction Co-Operative Properties Limited,Housing Co-operatives,1,2851,Dundas Street West,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6P 1Y6 
467201,19810504,"Beverley/Sullivan Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",70,"Beverley <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5T 1X9 
467202,19810504,Bluegrass Co-Operative Day Nursery Incorporated,Childcare Co-operatives,1,2,Stonehaven Drive,"<abbr title=""not available"">N/A</abbr>",Kanata,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K2M 1P9 
467203,19810511,Windmill Line Co-Operative Homes Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",125,Scadding Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 4H8 
467204,19810513,"Comfort Living Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2745,Islington Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M9V 5C1 
467209,19810603,Innisfree Housing Co-Operative Incorporated,Housing Co-operatives,17,185,Galloway Road,"<abbr title=""not available"">N/A</abbr>",West Hill,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1E 4Z7 
467210,19810611,The Growing Concern Co-Operative Incorporated,Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",800,Commissioners Road East,"<abbr title=""not available"">N/A</abbr>",London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N6A 4G5 
467211,19810615,"Ventura Park Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,34,39,Ventura Drive,Basement/Side Door,"<abbr title=""Saint"">St.</abbr> Catharines","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L2R 7K3 
467212,19810618,"Three Streets Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",77,"Winchester <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4X 1B1 
467213,19810623,Arcadia Housing Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",680,Queens Quay West,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5V 2Y9 
467215,19810624,"Brock-Seaway Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",147 A,"Dana <abbr title=""Street"">St</abbr>","<abbr title=""Post Office"">P.O.</abbr> Box 807",Brockville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K6V 5W1 
467216,19810713,"Northern Native Fishermen�s Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Bearskin Lake,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0V 1E0 
467217,19810716,"La Boite A Soleil Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",674,Ave Tanguay,"<abbr title=""not available"">N/A</abbr>",Welland,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3B 4G2 
467218,19810722,"Frank Fairchild Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",170,"Murison <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1B 3G1 
467219,19810727,"William J. Beggs Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,47,110,Townhaven Place,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1K 5G6 
467223,19810807,"Lets Grow Together Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",812,"Hortop <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Oshawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1G 4P1 
467225,19810825,Bridle Manor Co-Operative Incorporated,Housing Co-operatives,101,3110,Sheppard Avenue East,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1T 3J8 
467226,19810827,"Mondragon Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",79,Mondragon Circle,"<abbr title=""not available"">N/A</abbr>",Brampton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L6Z 1Z4 
467227,19810901,Russet Homes Co-Operative Corporation,Housing Co-operatives,12,3360,Ponytrail Drive,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4X 1V5 
467228,19810910,"College View Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,10,941,Avenue Road,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5P 2K7 
467229,19810924,"Daly Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,100,2410,Southvale Crescent,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1B 5K2 
467230,19811008,"Alliance Housing Co-Operative, <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",131,Firewood Private,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1T 2B9 
467231,19811022,"Westminster Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,36,300,Westminster Avenue,"<abbr title=""not available"">N/A</abbr>",London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N6C 5H3 
467232,19811027,Tapscott Village Co-Operative Incorporated,Housing Co-operatives,4,78,Tapscott Road,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1B 3G7 
467234,19811102,Frazer Heights Co-Operative Incorporated,Housing Co-operatives,10,1,Hayward Lane,"<abbr title=""not available"">N/A</abbr>",Ajax,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1S 4A1 
467238,19811112,"Toronto Women�s Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",397,Shuter Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 1X4 
467239,19811116,"Midland Small Set Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",308,King Street,"<abbr title=""not available"">N/A</abbr>",Midland,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4R 3M6
467240,19811119,"Summerlea Park Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,601,16,Tandridge Cres,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M9W 2P1 
467241,19811120,"La Petite Ecole Francaise Co-Operative De Brampton <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",11,Lillington Street,"<abbr title=""not available"">N/A</abbr>",Bramalea,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L6S 4B8 
467245,19811127,Ann Marie Hill Housing Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",170,Galloway Road,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1E 5A5 
467246,19811208,"Cornerstone Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",41,Victoria Street,"<abbr title=""not available"">N/A</abbr>",Welland,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3B 4L7 
467247,19811210,"Tecumseh Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,1,6555,Falconer Drive,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5N 3N6 
467248,19811215,"Devonshire Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",10,Devonshire Avenue,"<abbr title=""not available"">N/A</abbr>",Tillsonburg,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N4G 4K8 
467249,19811215,"Morley Mills Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",7,Pine Valley Trail,"<abbr title=""not available"">N/A</abbr>",Georgetown,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7G 5A3 
467250,19811223,"Dorothy Klein Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,907,10,"Shallmar <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5N 1J4 
467252,19820105,"Sidney Towers Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",7,Sidney Street,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1S 3L7 
467253,19820105,"Glebe Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",175,Third Avenue,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1S 2K2
467256,19820202,Winkleigh Co-Operative Housing Corporation,Housing Co-operatives,56,960,Limeridge Road East,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8W 2C4 
467257,19820208,"Tender Years Co-Operative School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",1444,Dundas Crescent,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5C 1E9 
467258,19820209,"Algoma Residential Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,104,35,Beckett Boulevard,"<abbr title=""not available"">N/A</abbr>",Elliot Lake,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P5A 3R4 
467259,19820216,"Honey Bears Co-Operative Preschool Of Hamilton <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",1284,Main Street East,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3K 1B2 
467262,19820224,William Lyon Mackenzie Housing Co-Operative Incorporated,Housing Co-operatives,92 1/2,299,Mullen Drive,"<abbr title=""not available"">N/A</abbr>",Thornhill,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4J 3W3 
467263,19820303,"Garden Village Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,27,379A,Niagara Street,"<abbr title=""not available"">N/A</abbr>","<abbr title=""Saint"">St.</abbr> Catharines","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L2M 7S1 
467264,19820310,"Harmony Creek Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,1,800,Rossland Road East,"<abbr title=""not available"">N/A</abbr>",Oshawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1K 1R3 
467265,19820324,"Mountain City Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,35,66,Elora Drive,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L9C 7B3 
