Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
50167,19450108,Bradford Co-Operative Storage Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",61,Bridge Street,"<abbr title=""not available"">N/A</abbr>",Bradford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3Z 2B1 
52072,19451227,Algoma Co-Operative Transport Company Limited,Milk Transport Co-operatives,"<abbr title=""not available"">N/A</abbr>",15,Lake Huron Drive,"<abbr title=""Post Office"">P.O.</abbr> Box 42",Desbarats,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0R 1E0 
53386,19460703,The Grenville Park Co-Operative Housing Association Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",4,"Westview <abbr title=""Road"">Rd</abbr>","<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7M 2C3
54209,19461120,Waupoos Cottage Co-Operative,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",3,Rideau Street,"<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7K 2Z5 
55021,19470313,L�Amie Societe Co-Operative De Consommation,Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",574,Principale,"<abbr title=""not available"">N/A</abbr>",Val Gagne,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0K 1W0 
55758,19470723,Durham Farmers� County Co-Operative,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",5968,Coop Road,"<abbr title=""not available"">N/A</abbr>",Orono,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L0B 1M0 
56110,19471007,La Co-Operative Agricole De Val Gagne,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",522,"Charlebois <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Ansonville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0K 1W0 
56214,19471028,Fairhaven Co-Operative Community Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",10,Fairhaven Way,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1K 0R3 
56217,19471105,Lakeside Co-Operative Apartments Limited,Housing Co-operatives,1,1351,Lakeshore Road,"<abbr title=""not available"">N/A</abbr>",Burlington,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7S 1B1 
56275,19471118,Madoc Co-Operative Association,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Saint"">St</abbr> Lawrence <abbr title=""Street"">St</abbr> West","<abbr title=""not available"">N/A</abbr>",Madoc,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0K 2K0 
