business_number,business_type,charity_name,corporate_name,charity_bn_full,business_bn_full,charity_status,charity_type,charity_city,charity_province,corporation_number
107706525,Federal Non-Profit,EVANGELICAL MISSIONARY CHURCH OF CANADA,Evangelical Missionary Church of Canada,107706525RR0001,107706525RC0002,Registered,Charity,KITCHENER,ON,848351-5
838152809,Federal Non-Profit,THE VOICE OF ORPHANS CANADA,THE VOICE OF ORPHANS CANADA,838152809RR0001,838152809RC0001,Registered,Charity,KITCHENER,ON,765383-2
826806085,Federal Non-Profit,Metabolic Syndrome Canada,Metabolic Syndrome Canada,826806085RR0001,826806085RC0001,Registered,Charity,KITCHENER,ON,802948-2
816589287,Federal Non-Profit,Capacity Canada,Capacity Canada,816589287RR0001,816589287RC0001,Registered,Charity,KITCHENER,ON,812821-9
792359705,Federal Non-Profit,FaithTech Canada,FaithTech Canada,792359705RR0001,792359705RC0001,Registered,Charity,KITCHENER,ON,1311392-2
731928305,Federal Non-Profit,Flaming Sword Ministries International Canada (FSMI),Flaming Sword Ministries International Canada (FSMI),731928305RR0001,731928305RC0001,Registered,Charity,KITCHENER,ON,1397362-0
728464405,Federal Non-Profit,The Way of Heaven Church Canada,The Way of Heaven Church Canada,728464405RR0001,728464405RC0001,Registered,Charity,KITCHENER,ON,1400786-7
775644552,Federal Non-Profit,The Glorious Church Canada,THE GLORIOUS CHURCH CANADA,775644552RR0001,775644552RC0001,Registered,Charity,KITCHENER,ON,1554679-6
730087921,Federal Non-Profit,SGVP GURUKUL CANADA,SGVP GURUKUL CANADA,730087921RR0001,730087921RC0001,Registered,Charity,KITCHENER,ON,1009009-3
119038487,Federal Non-Profit,CANADIAN MENNONITE PUBLISHING SERVICE,CANADIAN MENNONITE PUBLISHING SERVICE,119038487RR0001,119038487RC0001,Registered,Charity,KITCHENER,ON,052607-0
818506784,Federal Non-Profit,Federation of Canadian Secondary Students/ Fédération des Élèves du Secondaire au Canada,Federation of Canadian Secondary Students,818506784RR0001,818506784RC0001,Registered,Charity,KITCHENER,ON,913651-7
793648734,Federal Non-Profit,Kitchener Stray Cat Rescue,Kitchener Stray Cat Rescue,793648734RR0001,793648734RC0001,Registered,Charity,KITCHENER,ON,1140566-7
705877116,Federal Non-Profit,Mar Oraha Chaldean Catholic Church,Mar Oraha Chaldean Catholic Church,705877116RR0001,705877116RC0001,Registered,Charity,KITCHENER,ON,1129486-5
708296009,Federal Non-Profit,Grand River Islamic Center,Grand River Islamic Center,708296009RR0001,708296009RC0001,Registered,Charity,KITCHENER,ON,1428330-9
842144883,Federal Non-Profit,The Hummingbird Centre for Hope,The Hummingbird Centre For Hope,842144883RR0001,842144883RC0001,Registered,Charity,KITCHENER,ON,793798-9
809949886,Federal Non-Profit,Nexus Centre,NEXUS CENTRE,809949886RR0001,809949886RC0001,Registered,Charity,KITCHENER,ON,813022-1
718834096,Federal Non-Profit,Rohingya Centre,Rohingya Centre,718834096RR0001,718834096RC0001,Registered,Charity,KITCHENER,ON,1019790-4
765566542,Federal Non-Profit,Fierce N Fit Special Needs Charitable Organization,FIERCE N FIT SPECIAL NEEDS CHARITABLE ORGANIZATION,765566542RR0001,765566542RC0001,Registered,Charity,KITCHENER,ON,1293450-7
830771127,Federal Non-Profit,Charitus,Charitus,830771127RR0001,830771127RC0001,Registered,Charity,KITCHENER,ON,439557-3
129892659,Federal Non-Profit,COMMUNITY OF CHRIST KITCHENER CONGREGATION,COMMUNITY OF CHRIST,129892659RR0048,129892659RC0001,Registered,Charity,KITCHENER,ON,1018369-5
892607086,Federal Non-Profit,HOPE MISSION OF CHRIST,HOPE MISSION OF CHRIST,892607086RR0001,892607086RC0001,Registered,Charity,KITCHENER,ON,326878-1
734109606,Federal Non-Profit,Grand River Christian School Inc.,Grand River Christian School Inc.,734109606RR0001,734109606RC0001,Registered,Charity,KITCHENER,ON,1392972-8
888725306,Federal Non-Profit,FIRST MENNONITE CHURCH KITCHENER,FIRST MENNONITE CHURCH KITCHENER,888725306RR0001,888725306RC0001,Registered,Charity,KITCHENER,ON,407533-1
862195260,Federal Non-Profit,NORTHSIDE COMMUNITY CHURCH OF KITCHENER,NORTHSIDE COMMUNITY CHURCH OF KITCHENER,862195260RR0001,862195260RC0001,Registered,Charity,KITCHENER,ON,408030-1
